NMML #,FAMILY,GENUS,SPECIES,SUBSPECIES,COLLECTION DATE,COUNTRY,STATE,ISLAND GRP,LOCATION,OCEAN,SEA,OTHER,LAT,N/S,LONG,E/W,COLLECTOR 1,Other COLLECTORS,COLLECTOR #,SOURCE,DATE Cataloged,SEX,AGE,TLength Fld,TLength Lab,WEIGHT (Kg),SpecimenType,OCCUR,SpecimenCondition,SpecimenDisposition,SpecimenLocation,Availability,AdditionalDATA,DATALOC1,DATALOC2,REMARKS
NMML0549,Otariidae,Callorhinus,ursinus,,26-Mar-52,USA,California,,4-7 mi SE Farallon I,Pacific,,,,,,,"Crabb, W.D.",,3578,NW Coast Pelagic Exp,6-May-82,F,9,117,,31.8,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0550,Otariidae,Callorhinus,ursinus,,27-Mar-52,USA,California,,5-7 mi SE Farallon I,Pacific,,,,,,,"Crabb, W.D.",,3582,NW Coast Pelagic Exp,6-May-82,F,4,115,,25.9,G,1,1,,Museum,,y,spec files,,See NMML0497.
NMML0551,Otariidae,Callorhinus,ursinus,,27-Mar-52,USA,California,,5-8 mi SSW N.Farallo,Pacific,,,,,,,"Crabb, W.D.",,3587,NW Coast Pelagic Exp,6-May-82,F,6,124,,30.8,G,1,1,,Museum,,y,spec files,,See NMML0497.
NMML0552,Otariidae,Callorhinus,ursinus,,27-Mar-52,USA,California,,5-8 mi SSW N.Farralo,Pacific,,,,,,,"Crabb, W.D.",,3589,NW Coast Pelagic Exp,6-May-82,F,7,122,,31.3,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0553,Otariidae,Callorhinus,ursinus,,27-Mar-52,USA,California,,5-8 mi SSW N.Farralo,Pacific,,,,,,,"Crabb, W.D.",,3590,NW Coast Pelagic Exp,6-May-82,F,10+,118,,34,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0554,Otariidae,Callorhinus,ursinus,,2-Apr-52,USA,California,,14 mi SW Eureka,Pacific,,,,,,,"Crabb, W.D.",,3598,NW Coast Pelagic Exp,6-May-82,F,8,123,,34.5,G,1,1,,Museum,,y,spec files,,See NMML0497.
NMML0555,Otariidae,Callorhinus,ursinus,,2-Apr-52,USA,California,,10 mi SW of Eureka,Pacific,,,,,,,"Crabb, W.D.",,3600,NW Coast Pelagic Exp,10-May-82,F,10,116,,32.7,G,1,1,,Museum,,y,spec files,,See NMML0497.
NMML0556,Otariidae,Callorhinus,ursinus,,3-Apr-52,USA,California,,8 mi SW Eureka,Pacific,,,,,,,"Crabb, W.D.",,3601,NW Coast Pelagic Exp,10-May-82,F,5,121,,26.3,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0557,Otariidae,Callorhinus,ursinus,,3-Apr-52,USA,California,,8 mi SW Eureka,Pacific,,,,,,,"Crabb, W.D.",,3603,NW Coast Pelagic Exp,10-May-82,F,7,122,,31.8,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0558,Otariidae,Callorhinus,ursinus,,4-Apr-52,USA,California,,8 mi NW Trinidad,Pacific,,,,,,,"Crabb, W.D.",,3606,NW Coast Pelagic Exp,10-May-82,F,8,129,,38.1,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0559,Otariidae,Callorhinus,ursinus,,9-Apr-52,USA,Oregon,,12 mi W of bar-Coos*,Pacific,,,,,,,"Crabb, W.D.",,3611,NW Coast Pelagic Exp,10-May-82,F,7,127,,35.4,G,1,1,,Museum,,y,spec files,,See NMML0497.  12 mi W of bar-Coos Bay.  Pregnant.
NMML0560,Otariidae,Callorhinus,ursinus,,11-Apr-52,USA,Oregon,,10 mi W of bar-Coos*,Pacific,,,,,,,"Crabb, W.D.",,3615,NW Coast Pelagic Exp,10-May-82,F,9,130,,36.3,G,1,1,,Museum,,y,spec files,,See NMML0497.  10 mi W of bar - Coos Bay.  Pregnant.
NMML0561,Otariidae,Callorhinus,ursinus,,11-Apr-52,USA,Oregon,,20 mi NW Coos Bay,Pacific,,,,,,,"Crabb, W.D.",,3619,NW Coast Pelagic Exp,10-May-82,F,10+,132,,39,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0562,Otariidae,Callorhinus,ursinus,,12-Apr-52,USA,Oregon,,Cape Mears*,Pacific,,,,,,,"Crabb, W.D.",,3623,NW Coast Pelagic Exp,10-May-82,F,Immature,111,,24.5,G,1,1,,Museum,,y,spec files,,"See NMML0497.  Between Cape Meares & Tillamookk Hd, 15 mi offshore."
NMML0563,Otariidae,Callorhinus,ursinus,,15-Apr-52,USA,Oregon,,15 mi W Tillamook Hd,Pacific,,,,,,,"Crabb, W.D.",,3626,NW Coast Pelagic Exp,10-May-82,F,10,131,,37.2,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0564,Otariidae,Callorhinus,ursinus,,16-Apr-52,USA,Oregon,,15 mi W Tillamook Hd,Pacific,,,,,,,"Crabb, W.D.",,3629,NW Coast Pelagic Exp,10-May-82,F,10,135,,43.1,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0565,Otariidae,Callorhinus,ursinus,,16-Apr-52,USA,Oregon,,15 mi W Tillamook Hd,Pacific,,,,,,,"Crabb, W.D.",,3630,NW Coast Pelagic Exp,10-May-82,F,9,122,,34.5,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0566,Otariidae,Callorhinus,ursinus,,16-Apr-52,USA,Oregon,,15 mi W Tillamook Hd,Pacific,,,,,,,"Crabb, W.D.",,3631,NW Coast Pelagic Exp,10-May-82,F,8,130,,34,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0567,Otariidae,Callorhinus,ursinus,,16-Apr-52,USA,Oregon,,15 mi W Tillamook Hd,Pacific,,,,,,,"Crabb, W.D.",,3632,NW Coast Pelagic Exp,10-May-82,F,5,114,,29.9,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0568,Otariidae,Callorhinus,ursinus,,23-Apr-52,USA,Washington,,15 mi WSW Grays Har*,Pacific,,,,,,,"Crabb, W.D.",,3641,NW Coast Pelagic Exp,10-May-82,F,5,119,,32.7,G,1,1,,Museum,,y,spec files,,See NMML0497.  15 mi WSW Grays Harbor.  Pregnant.
NMML0569,Otariidae,Callorhinus,ursinus,,23-Apr-52,USA,Washington,,15 mi WSW Grays Harb,Pacific,,,,,,,"Crabb, W.D.",,3643,NW Coast Pelagic Exp,10-May-82,F,6,124,,30.8,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0570,Otariidae,Callorhinus,ursinus,,23-Apr-52,USA,Washington,,15 mi WSW Grays Harb,Pacific,,,,,,,"Crabb, W.D.",,3646,NW Coast Pelagic Exp,10-May-82,F,8,123,,34.5,G,1,1,,Museum,,y,spec files,,See NMML0497.  Pregnant.
NMML0571,Otariidae,Callorhinus,ursinus,,24-Apr-52,USA,Washington,,15 mi WSW Grays Har,Pacific,,,,,,,"Crabb, W.D.",,3650,NW Coast Pelagic Exp,10-May-82,F,8,114,,28.6,G,1,1,,Museum,,y,spec files,,See NMML0497.
NMML0572,Otariidae,Callorhinus,ursinus,,17-Aug-52,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Scheffer, V.B.",,BDM 470,,13-May-82,M,Adult,,,,G,4,5,,Museum,,n,,,"Adult, died in JUL 1952, cut for Otic Bulla."
NMML0573,Otariidae,Callorhinus,ursinus,,17-Aug-52,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Scheffer, V.B.",,BDM 471,,13-May-82,M,Adult,,,,G,4,5,,Museum,,y,,,Died in July.
NMML0574,Otariidae,Callorhinus,ursinus,,7-May-52,Japan,Iwate Prefecture,Off Honshu Island,"Off Chako, Saki",NW Pacific,,,,,,,"Wilke, F.",,JAP52-2644,NW Coast Pelagic Exp,26-May-82,M,10*,200,,187,G,4,5,,Museum,,y,spec files*,,"See NMML0671.  Approx. 10 yrs. old.  Series file ""JAP 52"""
NMML0575,Otariidae,Callorhinus,ursinus,,28-Apr-52,Japan,Iwate Prefecture,Off Honshu Island,85 mi NE of Miyako,NW Pacific,,,,,,,"Wilke, F.",,JAP52-2820,NW Coast Pelagic Exp,26-May-82,F,10*,127,,81,G,4,5,,Museum,,y,spec files*,,"See NMML0671.  Approx. 10 yrs. old.  Series file- ""JAP 52"""
NMML0576,Otariidae,Callorhinus,ursinus,,00 SEP 1952,USA,California,,San Diego Zoo,,,,,,,,"Scheffer, V.B.",,VBS 1377,San Diego Zoo,26-May-82,F,10+,,,,G,1,1,,Museum,,y,spec files,,"Specimen was captured on St.Paul Island, Alaska in 1947. Resided at SDZoo from FALL 1947 to SEPT 1952."
NMML0577,Otariidae,Callorhinus,ursinus,,18-May-53,USA,California,,San Diego Zoo,Pacific,,,,,,,"Scheffer, V.B.",,VBS 1378,San Diego Zoo,26-May-82,M,5,,,,G,1,1,,Museum,,y,spec files,,"""King"", trained fur seal, capt as a pup 17 OCT 1948.  Chocolate color morphology"
NMML0578,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,"St.Paul Isl, Polovi*",North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-1,PL52,2-Jun-82,F,6,117,,(30.45)*,G,1,1,,Museum,,y,"spec files-""PL-52""",,"Specimens NMML0578 - NMML0608 are 31 of 49 adult females taken on Palovina hauling ground on 29-30 Sept 1952 for morphemetus and reproductive studies.  St. Paul Island, Palovina hauling ground. Wt. converted from 67 lbs."
NMML0579,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-2,PL52,2-Jun-82,F,9,117,,(33.18)*,G,1,1,,Museum,,y,series files PL-52,,See NMML0578.  wt. converted from 73 lbs.
NMML0580,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-3,PL52,2-Jun-82,F,9,117,,(33.64)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovino Hauling Ground.  wt. converted from 74 lbs."
NMML0581,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-4,,2-Jun-82,F,6,122,,(33.64)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Grounds.  wt. converted from 74 lbs."
NMML0582,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-5,PL52,3-Jun-82,F,10,124,,(34.09)*,G,1,1,,Museum,,y,"series files ""PL-52""",,"See NMML0578. St. Paul Island, Polovina Hauling Ground.  wt. converted from 75 lbs."
NMML0583,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-6,PL52,3-Jun-82,F,10+,132,,(45.45)*,G,1,1,,Museum,,y,"series files ""PL-52""",,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 100 lbs."
NMML0584,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-7,PL52,3-Jun-82,F,10+,134,,(38.18)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 84 lbs."
NMML0585,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,Pl-52-8,PL52,3-Jun-82,F,6,119,,(32.72)*,G,1,1,,Museum,,y,"series files ""PL-52""",,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 72 lbs."
NMML0586,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-9,PL52,3-Jun-82,F,6,112,,(31.82)*.,G,1,1,,Museum,,y,"series files ""PL-52""",,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 70 lbs."
NMML0587,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,Pl-52-10,PL52,3-Jun-82,F,10+,124,,(37.27)*,G,1,1,,Museum,,y,"series files ""PL-52""",,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 82 lbs."
NMML0588,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-14,PL52,3-Jun-82,F,5,117,,(28.18)*,G,1,1,,Museum,,y,series files PL-52,,"St. Paul Island, Polovina Hauling Ground.  wt. converted from 62 lbs."
NMML0589,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-15,PL52,3-Jun-82,F,10+,124,,(41.36)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground. wt. converted from 91 lbs."
NMML0590,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-16,PL52,3-Jun-82,F,10+,129,,(39.55)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 87 lbs."
NMML0591,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-17,PL52,3-Jun-82,F,10+,124,,(38.18)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 84 lbs."
NMML0592,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-18,PL52,3-Jun-82,F,10+,127,,(35.0)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 77 lbs."
NMML0593,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-19,PL52,3-Jun-82,F,10+,132,,(40.45)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 89 lbs."
NMML0594,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-20,PL52,3-Jun-82,F,6,117,,(30.0)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 66 lbs."
NMML0595,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-36,PL52,3-Jun-82,F,7,119,,(34.55)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 76 lbs."
NMML0596,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-37,PL52,3-Jun-82,F,10+,124,,(43.64)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 96 lbs."
NMML0597,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-38,PL52,3-Jun-82,F,10+,117,,(31.36)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 69 lbs."
NMML0598,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-39,PL52,3-Jun-82,F,7,129,,(40.0)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 88 lbs."
NMML0599,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-40,PL52,3-Jun-82,F,10+,129,,(44.55)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 98 lbs."
NMML0600,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-41,PL52,3-Jun-82,F,9,127,,(40.0)*,G,1,1,,Museum,,y,series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground. wt. converted from 88 lbs."
NMML0601,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-42,PL52,3-Jun-82,F,6,117,,(32.27)*,G,1,1,,Museum,,y,Series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 71 lbs."
NMML0602,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-43,PL52,3-Jun-82,F,7,122,,(31.82)*,G,1,1,,Museum,,y,Series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 70 lbs."
NMML0603,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-44,PL52,3-Jun-82,F,9,134,,(42.27)*,G,1,1,,Museum,,y,Series Files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 93 lbs."
NMML0604,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-45,PL52,3-Jun-82,F,9,117,,(34.55)*,G,1,1,,Museum,,y,Series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 76 lbs."
NMML0605,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-46,PL52,3-Jun-82,F,5,117,,(30.0)*,G,1,1,,Museum,,y,Series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 66 lbs."
NMML0606,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-47,PL52,3-Jun-82,F,10,122,,(35.45)*,G,1,1,,Museum,,y,Series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 78 lbs."
NMML0607,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-48,PL52,3-Jun-82,F,10,129,,(39.55)*,G,1,1,,Museum,,y,Series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 87 lbs."
NMML0608,Otariidae,Callorhinus,ursinus,,29-Sep-52,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Kenyon, K.W.",,PL-52-49,PL52,3-Jun-82,F,8,124,,(34.54)*,G,1,1,,Museum,,y,Series files PL-52,,"See NMML0578.  St. Paul Island, Polovina Hauling Ground.  wt. converted from 76 lbs."
NMML0609,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Wilke, F.",,17,US Fish & Wildlife,26-May-82,F,,,,,G,1,1,,Museum,,y,series files,,"St Paul Island, Polovina Hauling Ground.  NMML0609-NMML0670 & NMML0934-NMML0943 were collected from 15 JUN 1953 to 04 SEP 1953.  See:  Thompson, S.H. 1955 Alaska Fishery and Fur Seal Industries:  1953 USFWS, Stat. Dig 35, p.61, 72.  See:  Wilke, F.  1953 Alaska Fur Seal Investigations, Prib. Is., Alaska, summer of 1953.  USFWS, MMBL, Seattle, 34 p., unpubl."
NMML0610,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island*,North Pacific,Bering Sea,,,,,,"Wilke, F.",,23,US Fish & Wildlife,26-May-82,F,5,132,,(40.0)*,G,1,1,,Museum,,y,series files,,"See NMML0609.  St. Paul Island, Polovina Hauling Ground.  Pregnant.  Weight converted from 88 lbs."
NMML0611,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,40,US Fish & Wildlife,26-May-82,F,4,122,,(31.82)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 70 lbs.
NMML0612,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,42,US Fish & Wildlife,26-May-82,F,6,130,,(43.18)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 95 lbs.
NMML0613,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,43,US Fish & Wildlife,26-May-82,F,7,130,,(40.0)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 88 lbs.
NMML0614,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,44,US Fish & Wildlife,26-May-82,F,6,132,,(45.0)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 99 lbs.
NMML0615,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,48,US Fish & Wildlife,26-May-82,F,10+,142,,(47.27)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 104 lbs.  Mandible mislabelled as #43.
NMML0616,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,49,US Fish & Wildlife,26-May-82,F,7,127,,(34.09)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 75 lbs.
NMML0617,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,52,US Fish & Wildlife,26-May-82,F,6,130,,(40.91)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted form 90 lbs.
NMML0618,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,54,US Fish & Wildlife,26-May-82,F,8,136,,(43.64)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 96 lbs.
NMML0619,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,59,US Fish & Wildlife,26-May-82,F,6,123,,(31.82)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 70 lbs.
NMML0620,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,66,US Fish & Wildlife,26-May-82,F,6,128,,(37.73)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 83 lbs.
NMML0621,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,71,US Fish & Wildlife,26-May-82,F,9,131,,(42.73)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 94 lbs.
NMML0622,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,75,US Fish & Wildlife,26-May-82,F,5,138,,(45.45)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 100 lbs.
NMML0623,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,94,US Fish & Wildlife,26-May-82,F,,,,,G,1,1,,Museum,,y,series files,,See NMML0609.
NMML0624,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,105,US Fish & Wildlife,26-May-82,F,7,129,,(45.45)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 100 lbs.
NMML0625,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,108,US Fish & Wildlife,26-May-82,F,8,133,,(49.09)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 108 lbs.
NMML0626,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,120,US Fish & Wildlife,26-May-82,F,7,125,,(32.73)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 72 lbs.
NMML0627,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,128,US Fish & Wildlife,26-May-82,F,10+,142,,(45.9)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 101 lbs.
NMML0628,Otariidae,Callorhinus,ursinus,,1953 *,USA,Alaska,Pribilof Islands,St.Paul Island,North Pacific,Bering Sea,,,,,,"Wilke, F.",,160,US Fish & Wildlife,26-May-82,F,6,130,,(35.0)*,G,1,1,,Museum,,y,series files,,See NMML0609.  Pregnant.  Weight converted from 77 lbs.
